Agent_ID,Gender,Total_Kids,Status,Cause_of_Death,Year_of_Death,Final_Savings,Final_Energy,Marital_Regime
115,M,1,Dead,Starvation / Exhaustion,6,-5.33,-2,Separate
8,F,3,Dead,Starvation / Exhaustion,6,-1.52,-12,Separate
50,F,2,Dead,Starvation / Exhaustion,7,-5.2,-3,Separate
96,F,2,Dead,Starvation / Exhaustion,7,2.11,-2,Separate
32,F,0,Dead,Starvation / Exhaustion,7,-16.67,-3,Separate
48,F,2,Dead,Starvation / Exhaustion,8,-8.64,-3,Separate
100,F,0,Dead,Starvation / Exhaustion,9,-20.08,1,None
12,F,3,Dead,Starvation / Exhaustion,10,-14.97,-4,None
122,F,1,Dead,Starvation / Exhaustion,10,-23.5,21,None
47,M,0,Dead,Starvation / Exhaustion,10,-3.64,-5,Communist
116,F,0,Dead,Starvation / Exhaustion,10,-13.61,-5,Separate
117,M,0,Dead,Starvation / Exhaustion,10,-7.13,-4,Separate
2,F,0,Dead,Starvation / Exhaustion,10,-19.9,-5,Separate
10,F,0,Dead,Starvation / Exhaustion,10,-10.76,-5,None
9,M,0,Dead,Starvation / Exhaustion,10,-10.21,-5,None
66,F,1,Dead,Starvation / Exhaustion,10,-16.42,-4,Separate
64,F,0,Dead,Starvation / Exhaustion,10,-12.14,-5,None
65,M,0,Dead,Starvation / Exhaustion,10,-19.83,-5,None
54,F,0,Dead,Starvation / Exhaustion,10,-22.67,-5,None
5,M,3,Dead,Starvation / Exhaustion,10,-16.51,-5,Separate
36,F,0,Dead,Starvation / Exhaustion,10,-16.47,-4,None
35,M,3,Dead,Starvation / Exhaustion,11,-15.2,-4,Separate
112,F,2,Dead,Starvation / Exhaustion,11,-12.7,-4,Separate
58,F,2,Dead,Starvation / Exhaustion,11,-10.79,-4,Separate
75,M,1,Dead,Starvation / Exhaustion,11,-14.47,-5,None
127,F,0,Dead,Starvation / Exhaustion,12,-23.73,30,None
120,F,0,Dead,Starvation / Exhaustion,12,-16.93,-5,None
73,M,2,Dead,Starvation / Exhaustion,12,-14.15,-5,None
77,M,0,Dead,Starvation / Exhaustion,12,-9.72,-5,None
28,F,0,Dead,Starvation / Exhaustion,12,4.99,-6,Separate
