Agent_ID,Gender,Total_Kids,Status,Cause_of_Death,Year_of_Death,Final_Savings,Final_Energy,Unique_Regions_Visited,W0_Energy_Weight,W2_Density_Weight
132,F,1,Alive,N/A,N/A,284.16,35,2,-0.4136125724264346,2.432514752361277
247,F,0,Alive,N/A,N/A,12.43,90,1,-0.5871383403018703,1.8136203225817582
191,M,2,Alive,N/A,N/A,122.85,70,1,-0.7168820139854305,2.0456916438454456
237,F,0,Alive,N/A,N/A,140.93,90,1,-0.7064964362660984,1.9521031766245638
205,M,0,Alive,N/A,N/A,149.97,90,1,-0.7626087109874152,1.7211313605417096
210,F,0,Alive,N/A,N/A,110.92,90,1,-1.0087861125118869,2.1623261911438405
260,F,0,Alive,N/A,N/A,34.30420966401478,100,1,-0.8588312579761881,2.195014871986866
198,M,0,Alive,N/A,N/A,229.44,90,1,-0.5822604540178883,1.6079332897769794
89,F,0,Alive,N/A,N/A,32.33,9,3,-0.6820691633643077,1.6033800623850065
74,F,0,Alive,N/A,N/A,269.37,90,2,-0.9390313870681368,1.5776253733042358
252,F,0,Alive,N/A,N/A,46.71,90,1,-0.8210512166973603,2.1500542676126218
184,M,1,Alive,N/A,N/A,243.16,80,1,-0.7359237302813478,1.806351033529957
222,F,0,Alive,N/A,N/A,97.05,90,1,-0.7179184460022809,1.7258773278093638
157,F,4,Alive,N/A,N/A,484.94,50,2,-0.6472089189962033,2.0606909561561144
36,F,0,Alive,N/A,N/A,296.38,90,2,-0.7480345280724746,1.8823019874082674
127,M,2,Alive,N/A,N/A,79.21,22,2,-0.8448344649083348,2.3952423416272413
160,F,4,Alive,N/A,N/A,452.84,50,3,-0.7090703953642591,1.7886935166769984
8,F,0,Alive,N/A,N/A,399.12,90,2,-0.7089671421089813,1.8549243002734854
215,M,0,Alive,N/A,N/A,138.09,90,1,-0.6845349259082081,1.8735689747799549
33,F,0,Alive,N/A,N/A,339.04,90,2,-0.6246354586174165,2.031846396628414
209,F,0,Alive,N/A,N/A,214.71,90,1,-0.5954012113369707,1.924304305079543
227,F,0,Alive,N/A,N/A,172.14,90,1,-0.6257137290879958,1.553599707079377
257,F,0,Alive,N/A,N/A,90.42,90,1,-0.7315056396613582,1.6115047929792585
90,F,2,Alive,N/A,N/A,449.09,60,2,-0.8722304882141241,2.0173181949729813
232,F,0,Alive,N/A,N/A,108.6,90,1,-0.7675941232952099,1.9194528055570397
242,M,0,Alive,N/A,N/A,76.36,90,1,-0.6606595259840363,1.6780848549716374
194,F,1,Alive,N/A,N/A,223.53,80,1,-0.7169197458129222,1.9971283240395266
137,M,2,Alive,N/A,N/A,40.31,38,3,-0.8386147580969585,2.31136791403939
200,F,0,Alive,N/A,N/A,154.57,90,1,-0.7967210959838125,2.179211536190469
175,M,2,Alive,N/A,N/A,278.35,70,1,-0.7003033690131173,2.13974540016656
188,M,2,Alive,N/A,N/A,21.33,70,1,-0.794216134012432,2.035642391017738
176,F,3,Alive,N/A,N/A,347.97,60,3,-0.7406354909329622,1.657825377172742
106,M,6,Alive,N/A,N/A,162.1,30,1,-0.6231990476054421,1.8469506205972706
158,F,4,Alive,N/A,N/A,350.41,50,1,-0.7187287064373721,1.8208626700006212
128,M,1,Alive,N/A,N/A,126.18,31,3,-0.6787799588235229,2.1336790647663837
203,M,0,Alive,N/A,N/A,167.61,90,1,-0.7222018140483819,2.1533794695259822
134,F,1,Alive,N/A,N/A,410.98,33,2,-0.7170506350305355,1.9108113832205078
25,M,0,Alive,N/A,N/A,90.36,13,3,-0.6908433359065475,2.8611570141650193
144,M,2,Alive,N/A,N/A,88.97,39,3,-0.5892983053033881,2.741904341229628
231,F,0,Alive,N/A,N/A,75.57,90,1,-0.742579108906433,1.7202770147826074
197,M,1,Alive,N/A,N/A,260.41,90,1,-0.832508863248606,1.796100938096707
241,F,0,Alive,N/A,N/A,126.09,90,1,-0.7187820018008325,1.766727541499277
182,M,0,Alive,N/A,N/A,270.02,90,1,-0.6977401937134828,1.7489557586451867
254,F,0,Alive,N/A,N/A,116.76,90,1,-0.7366866233306343,1.7606777542785736
121,M,6,Alive,N/A,N/A,61.78,30,1,-0.6457994854824034,1.5718192394753996
30,F,0,Alive,N/A,N/A,155.56,5,3,-0.4915248478472627,2.705956263196602
151,F,2,Alive,N/A,N/A,321.07,70,1,-0.7992912566539375,1.9232800497663294
216,M,0,Alive,N/A,N/A,173.34,90,1,-0.6935861467747286,1.8580745650492023
248,F,0,Alive,N/A,N/A,73.11,90,1,-0.6583836033130139,1.5844002844185443
163,M,2,Alive,N/A,N/A,205.53,70,1,-0.8113172529210636,1.9211789388564142
72,F,4,Alive,N/A,N/A,458.17,30,3,-0.8331465485239575,1.5041885877907455
238,F,0,Alive,N/A,N/A,63.08,90,1,-0.6657427994282488,1.7051791746358052
113,F,0,Alive,N/A,N/A,224.13,90,1,-0.5506216251662153,1.6352362140645051
154,M,2,Alive,N/A,N/A,247.74,70,3,-0.5933163267897364,1.7285847196249011
187,M,1,Alive,N/A,N/A,210.14,80,1,-0.5573943624929256,1.7995365239544587
251,M,0,Alive,N/A,N/A,109.03,90,1,-0.6410328166953904,1.6093070595470491
96,M,6,Alive,N/A,N/A,161.44,30,3,-0.7070831656955504,1.7581585163610365
116,M,2,Alive,N/A,N/A,202.81,35,3,-1.1072671848275324,2.522704858703664
166,M,1,Alive,N/A,N/A,132.07,80,1,-0.6115745500979994,1.8307073279110522
213,M,0,Alive,N/A,N/A,144.86,90,1,-0.6165591100548704,1.7726075344104364
138,F,0,Alive,N/A,N/A,217.01,35,2,-0.5897856381966305,2.0202389127373475
148,F,0,Alive,N/A,N/A,350.04,64,2,-0.6946091725285801,2.145261514443812
228,M,0,Alive,N/A,N/A,91.06,90,1,-0.701133050817861,1.780594519635841
173,M,3,Alive,N/A,N/A,112.06,60,1,-0.615386800445858,1.8546650432237257
258,M,0,Alive,N/A,N/A,88.31,90,1,-0.5781031556655739,1.6869598167049729
192,F,3,Alive,N/A,N/A,425.48,60,1,-0.5368982867330954,1.707271294225369
244,F,0,Alive,N/A,N/A,82.45,90,1,-0.624703840961025,2.398686215350189
234,M,0,Alive,N/A,N/A,32.46,90,1,-0.7434159972315166,1.7161868782385532
131,M,2,Alive,N/A,N/A,143.36,30,3,-1.0544401841650477,2.484881129924193
201,F,0,Alive,N/A,N/A,357.47,90,1,-0.7149721716403041,1.7675761139562962
104,F,3,Alive,N/A,N/A,283.0,30,3,-0.9118434320646394,1.5829834223115347
189,F,0,Alive,N/A,N/A,353.09,90,1,-0.6487562842324872,1.9460531491868094
174,F,4,Alive,N/A,N/A,514.58,50,1,-0.7951981014286801,2.034722606923013
243,M,0,Alive,N/A,N/A,144.92,90,1,-0.8326184355168391,2.1313145277329224
118,F,1,Alive,N/A,N/A,217.4,30,3,-0.5824790577054637,2.2725911415963465
233,M,0,Alive,N/A,N/A,144.2,90,1,-0.6875586272996116,1.603354400022011
146,F,1,Alive,N/A,N/A,338.71,36,2,-0.6730671749623486,2.3541770847454426
136,F,0,Alive,N/A,N/A,334.71,90,1,-0.5317755510256925,2.0205599893621145
27,F,4,Alive,N/A,N/A,177.98,30,3,-1.2303621789257229,2.6862920270144963
208,M,0,Alive,N/A,N/A,141.37,90,1,-0.8634762828811288,1.872485746886184
123,F,0,Alive,N/A,N/A,487.18,90,1,-0.6177678206157103,2.3088346206068353
256,M,0,Alive,N/A,N/A,67.69,90,1,-0.6382942601307435,2.3013997482263524
111,M,6,Alive,N/A,N/A,25.38,20,2,-0.5489848284133817,1.7762992159140465
161,F,0,Alive,N/A,N/A,267.66,90,1,-0.5972199443767827,1.7161374863287688
214,M,0,Alive,N/A,N/A,89.53,90,1,-0.682909781575604,2.0469880929368087
223,M,0,Alive,N/A,N/A,134.75,90,1,-0.5783306294560975,1.9106184167981786
19,F,0,Alive,N/A,N/A,111.19,1,3,-0.7871744923569349,2.5703377824168543
185,F,0,Alive,N/A,N/A,274.39,90,1,-0.7424343301877013,2.187996064040766
253,F,0,Alive,N/A,N/A,123.38,90,1,-0.6968011817599565,1.6937657208902912
178,F,4,Alive,N/A,N/A,365.93,60,3,-0.8479888850059876,1.726516378814485
37,M,5,Alive,N/A,N/A,267.6,30,2,-0.7271913296616275,1.6005049542269774
156,F,0,Alive,N/A,N/A,373.28,90,1,-0.7416405605138734,1.9275482490097686
47,F,1,Alive,N/A,N/A,381.04,70,2,-0.79189719123811,1.8949463762506373
261,M,0,Alive,N/A,N/A,65.77958722863315,100,1,-0.730890494788017,1.6519942987836171
211,F,0,Alive,N/A,N/A,164.69,90,1,-0.645380463271088,2.0334672082949403
75,F,0,Alive,N/A,N/A,61.28,15,3,-0.5681032525692555,1.6363701284486853
199,M,0,Alive,N/A,N/A,197.56,90,1,-0.6625495935372586,2.3027571369921933
114,F,1,Alive,N/A,N/A,241.4,35,2,-0.8100347757665081,2.3694603712452844
171,F,3,Alive,N/A,N/A,566.46,60,3,-0.774624878045139,1.5986849474734424
204,F,0,Alive,N/A,N/A,250.16,90,1,-0.7328696759762792,1.7467423335157697
218,F,0,Alive,N/A,N/A,92.05,90,1,-0.9112990810867108,1.5826044867174645
236,F,0,Alive,N/A,N/A,130.19,90,1,-0.7793617388790693,1.6820285161406174
5,F,4,Alive,N/A,N/A,324.78,30,2,-0.8314383938641923,1.6176357912284325
190,M,1,Alive,N/A,N/A,246.92,80,1,-0.7027095490437,1.8523208032647132
246,F,0,Alive,N/A,N/A,74.13,90,1,-0.7619305361487096,1.8419205386881559
81,F,3,Alive,N/A,N/A,334.7,30,2,-0.8568525882008328,2.4622946412803595
235,F,0,Alive,N/A,N/A,181.27,90,1,-0.9252880247709677,2.0340817553412256
6,M,6,Alive,N/A,N/A,203.14,30,2,-0.7232833482022287,1.6165866614227564
245,F,0,Alive,N/A,N/A,127.25,90,1,-0.6754842844099752,2.0819625708578546
21,F,2,Alive,N/A,N/A,423.2,50,2,-0.9755682370386414,2.047672615459896
130,M,1,Alive,N/A,N/A,357.56,37,2,-0.6734413353275543,2.017995548658968
140,M,5,Alive,N/A,N/A,118.84,40,1,-0.5337767738313344,1.7408162708275696
259,M,0,Alive,N/A,N/A,83.68,90,1,-0.764692985303074,2.062433853690491
63,F,3,Alive,N/A,N/A,253.74,30,2,-0.4289333776910085,2.2013563880113134
172,M,3,Alive,N/A,N/A,35.23,60,1,-0.7135618054019425,1.5397902274772015
167,F,4,Alive,N/A,N/A,459.98,50,1,-0.7903370380656879,2.180444480726551
139,M,6,Alive,N/A,N/A,67.49,30,3,-0.8622071321531513,1.5902631828993503
125,M,3,Alive,N/A,N/A,296.48,60,1,-0.7169080760654533,1.8337609190770372
